Job ID,Agency,# Of Positions,Civil Service Title,Salary Range From,Salary Range To,Salary Frequency,Salary Range
180149,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,79457,107720,Annual,28263
181317,DEPT OF ENVIRONMENT PROTECTION,1,GARDENER,38277,55090,Annual,16813
181479,DEPT OF HEALTH/MENTAL HYGIENE,1,PRINCIPAL ADMINISTRATIVE ASSOC,44735,55000,Annual,10265
151937,NYC HOUSING AUTHORITY,4,ASSOCIATE PROJECT MANAGER,62942,92249,Annual,29307
152008,NYC HOUSING AUTHORITY,4,ASSOCIATE PROJECT MANAGER,62942,92249,Annual,29307
181944,DEPT OF ENVIRONMENT PROTECTION,1,COMPUTER SPECIALIST (SOFTWARE),87203,120754,Annual,33551
182266,DEPARTMENT OF TRANSPORTATION,2,CITY PLANNER,57497,84640,Annual,27143
152669,DEPT OF ENVIRONMENT PROTECTION,1,MARINE ELECTRONICS TECHNICIAN,73034,107985,Annual,34951
152673,DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE STAFF ANALYST (,54740,146276,Annual,91536
182479,NYC HOUSING AUTHORITY,1,HEATING PLANT TECHNICIAN (HA),27772,45632,Annual,17860
182890,DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE STAFF ANALYST (,78000,90000,Annual,12000
174736,DEPT OF ENVIRONMENT PROTECTION,1,ASSOCIATE PROJECT MANAGER,65822,96470,Annual,30648
152679,DEPT OF ENVIRONMENT PROTECTION,11,SENIOR STATIONARY ENGINEER (EL,109850,109850,Annual,0
152738,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,30683,49707,Annual,19024
183112,DEPT OF INFO TECH & TELECOMM,1,COMPUTER PROGRAMMER ANALYST,45174,62370,Annual,17196
183500,LAW DEPARTMENT,1,CLERICAL ASSOCIATE,32086,51981,Annual,19895
155260,DEPT OF ENVIRONMENT PROTECTION,1,SCIENTIST (WATER ECOLOGY),55544,79244,Annual,23700
156256,DEPT OF ENVIRONMENT PROTECTION,1,QUALITY ASSURANCE SPECIALIST (,38058,53999,Annual,15941
157511,DEPT OF HEALTH/MENTAL HYGIENE,1,CRIMINALIST ASSISTANT DIRECTOR,60000,80000,Annual,20000
183879,DEPT OF HEALTH/MENTAL HYGIENE,3,CLERICAL ASSOCIATE,26869,30899,Annual,4030
159215,TAXI & LIMOUSINE COMMISSION,2,COMMUNITY ASSOCIATE,32321,53788,Annual,21467
257545,DEPT OF ENVIRONMENT PROTECTION,1,CONSTRUCTION PROJECT MANAGER,61237,88686,Annual,27449
86699,DEPT OF CITYWIDE ADMIN SVCS,2,GRAPHIC ARTIST,38443,60241,Annual,21798
87990,DEPARTMENT OF BUSINESS SERV.,1,CONTRACT REVIEWER (OFFICE OF L,42405,65485,Annual,23080
93086,DEPT OF INFO TECH & TELECOMM,1,COMPUTER SYSTEMS MANAGER,49492,101500,Annual,52008
